ACTION;TABLE;MANDT;AGR_NAME;ORG_FIELD;LIST
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_01         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_02         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_03         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_04         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_05         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_06         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_07         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_08         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_09         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_10         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_11         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_12         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_13         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_14         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_15         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_16         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_17         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_18         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_19         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_20         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_21         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_22         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_23         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_24         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_25         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_26         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_27         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_28         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_97         ;$AUFART                                   ;*
replace_list;AGR_1252;100  ;YH_MM_WAREHOUSE_SUPV_99         ;$AUFART                                   ;*
