ACTION;TABLE;MANDT;AGR_NAME;OBJECT;AUTH;FIELD;LOW
replace_list;AGR_1251;130;YH_MM_WAREHOUSE_SUPV_97;F_KNKK_BED;T-BD09093900;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;YH_MM_WAREHOUSE_SUPV_97;F_LFA1_BEK;T-BD09093900;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_CUSTOMER_DISP_97;F_BKPF_BED;T-BD09093200;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_CUSTOMER_DISP_97;F_KNA1_BED;T-BD09093200;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_CUSTOMER_DISP_97;F_KNA1_BED;T-BD09093201;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;F_BKPF_BED;T-BD09091200;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;F_LFA1_BEK;T-BD09091200;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_DISPLAY_R2R_97;F_BKPF_BED;T-BD09091300;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_DISPLAY_R2R_97;F_KNA1_BED;T-BD09091300;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_DISPLAY_R2R_97;F_LFA1_BEK;T-BD09091300;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_FI_DISPLAY_R2R_97;F_LFA1_BEK;T-BD09091301;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_GE_QUERY_RUN_97;F_LFA1_BEK;T-BD09094800;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_GR_ORDERS_DATA_97;F_LFA1_BEK;T-BD09095000;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_MM_DISPLAY_97;F_BKPF_BED;T-BD09091800;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_MM_DISPLAY_97;F_KNA1_BED;T-BD09091800;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_MM_DISPLAY_97;F_LFA1_BEK;T-BD09091800;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_MM_DISPLAY_97;F_LFA1_BEK;T-BD09091801;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_BILLING_DOCUMENT_DISP_97;F_KNA1_BED;T-BD09092700;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_CREDIT_INFO_DISP_97;F_BKPF_BED;T-BD09095700;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_CREDIT_INFO_DISP_97;F_KNA1_BED;T-BD09095700;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_CREDIT_INFO_DISP_97;F_KNKK_BED;T-BD09095700;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_CREDIT_INFO_DISP_97;F_KNKK_BED;T-BD09095701;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_CUSTOMER_MASTER_DISP_97;F_KNA1_BED;T-BD09092800;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;ZH_SD_CUSTOMER_MASTER_DISP_97;F_KNA1_BED;T-BD09092801;BRGRU;EMEA|NA|SHAR
replace_list;AGR_1251;130;YH_MM_WAREHOUSE_SUPV_97;I_KOSTL;T-BD09093900;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_CO_DISPLAY_97;K_REPO_CCA;T-BD09091100;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_CO_DISPLAY_97;K_CSKS;T-BD09091100;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_CO_DISPLAY_97;K_REPO_CCA;T-BD09091101;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;K_CSKS_PLA;T-BD09091200;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;K_CSKS;T-BD09091200;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;A_S_KOSTL;T-BD09091200;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;K_REPO_CCA;T-BD09091201;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;K_REPO_CCA;T-BD09091200;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;K_CSKS;T-BD09091201;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PM_DISPLAY_97;I_KOSTL;T-BD09092100;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PM_DISPLAY_97;I_KOSTL;T-BD09092101;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PM_MASTER_DATA_MAINT_97;I_KOSTL;T-BD09092200;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PM_MASTER_DATA_MAINT_97;I_KOSTL;T-BD09092201;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PM_NOTIFICATIONS_97;I_KOSTL;T-BD09094400;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PM_WORK_ORDER_MAINT_97;I_KOSTL;T-BD09095500;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_DISPLAY_97;I_KOSTL;T-BD09092300;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_DISPLAY_97;K_REPO_CCA;T-BD09092300;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_PLANNING_97;K_REPO_CCA;T-BD09092502;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_PLANNING_97;K_REPO_CCA;T-BD09092500;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_PLANNING_97;K_REPO_CCA;T-BD09092501;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_PLANNING_97;I_KOSTL;T-BD09092500;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;ZH_PP_PROC_ORDERS_CONFIRM_97;K_REPO_CCA;T-BD09092600;KOSTL;0000001000|0001*|0002*|0003*|001*|003*|1000|1000_*|102*|103*|104*|105*|106*|107*|2*|3*|5*|9*
replace_list;AGR_1251;130;YH_MM_WAREHOUSE_SUPV_97;A_IMA_REQU;T-BD09093900;RESPAREA;KS10000000001000|KS10000001*|KS10000002*|KS10000003*|KS1000001*|KS1000003*|KS10001000|KS10001000_*|KS1000102*|KS1000103*|KS1000104*|KS1000105*|KS1000106*|KS1000107*|KS10002*|KS10003*|KS10005*|KS10009*|HI10001000|HI10001000_*|HI1000102*|HI1000103*|HI1000104*|HI1000105*|HI1000106*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;A_IMA_REQU;T-BD09091200;RESPAREA;KS10000000001000|KS10000001*|KS10000002*|KS10000003*|KS1000001*|KS1000003*|KS10001000|KS10001000_*|KS1000102*|KS1000103*|KS1000104*|KS1000105*|KS1000106*|KS1000107*|KS10002*|KS10003*|KS10005*|KS10009*|HI10001000|HI10001000_*|HI1000102*|HI1000103*|HI1000104*|HI1000105*|HI1000106*
replace_list;AGR_1251;130;ZH_IM_DISPLAY_97;A_IMA_REQU;T-BD09095100;RESPAREA;KS10000000001000|KS10000001*|KS10000002*|KS10000003*|KS1000001*|KS1000003*|KS10001000|KS10001000_*|KS1000102*|KS1000103*|KS1000104*|KS1000105*|KS1000106*|KS1000107*|KS10002*|KS10003*|KS10005*|KS10009*|HI10001000|HI10001000_*|HI1000102*|HI1000103*|HI1000104*|HI1000105*|HI1000106*
replace_list;AGR_1251;130;YH_MM_WAREHOUSE_SUPV_97;A_IMA_RESP;T-BD09093900;RESPAREA;KS10000000001000|KS10000001*|KS10000002*|KS10000003*|KS1000001*|KS1000003*|KS10001000|KS10001000_*|KS1000102*|KS1000103*|KS1000104*|KS1000105*|KS1000106*|KS1000107*|KS10002*|KS10003*|KS10005*|KS10009*|HI10001000|HI10001000_*|HI1000102*|HI1000103*|HI1000104*|HI1000105*|HI1000106*
replace_list;AGR_1251;130;ZH_FI_DISPLAY_97;A_IMA_RESP;T-BD09091200;RESPAREA;KS10000000001000|KS10000001*|KS10000002*|KS10000003*|KS1000001*|KS1000003*|KS10001000|KS10001000_*|KS1000102*|KS1000103*|KS1000104*|KS1000105*|KS1000106*|KS1000107*|KS10002*|KS10003*|KS10005*|KS10009*|HI10001000|HI10001000_*|HI1000102*|HI1000103*|HI1000104*|HI1000105*|HI1000106*
