ACTION;TABLE;MANDT;AGR_NAME;OBJECT;AUTH;FIELD;LOW;HIGH
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_01;M_MSEG_LGO;T-BD08770900;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_01;M_MSEG_LGO;T-BD08770900;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_01;M_MSEG_LGO;T-BD08770901;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_01;M_MSEG_LGO;T-BD08770901;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_02;M_MSEG_LGO;T-BD08771000;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_02;M_MSEG_LGO;T-BD08771000;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_02;M_MSEG_LGO;T-BD08771001;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_02;M_MSEG_LGO;T-BD08771001;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_03;M_MSEG_LGO;T-BD08771100;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_03;M_MSEG_LGO;T-BD08771100;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_03;M_MSEG_LGO;T-BD08771101;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_03;M_MSEG_LGO;T-BD08771101;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_04;M_MSEG_LGO;T-BD08771200;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_04;M_MSEG_LGO;T-BD08771200;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_04;M_MSEG_LGO;T-BD08771201;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_04;M_MSEG_LGO;T-BD08771201;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_05;M_MSEG_LGO;T-BD08771300;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_05;M_MSEG_LGO;T-BD08771300;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_05;M_MSEG_LGO;T-BD08771301;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_05;M_MSEG_LGO;T-BD08771301;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_06;M_MSEG_LGO;T-BD08771400;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_06;M_MSEG_LGO;T-BD08771400;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_06;M_MSEG_LGO;T-BD08771401;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_06;M_MSEG_LGO;T-BD08771401;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_07;M_MSEG_LGO;T-BD08771500;ACTVT;01|02|03;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_07;M_MSEG_LGO;T-BD08771500;BWART;309|343|344|412|601|602;
replace_list;AGR_1251;100;YH_MM_WAREHOUSE_SUPV_07;M_MSEG_LGO;T-BD08771501;BWART;309|343|344|412|601|602;
